 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1452,351.2787,-00.6307,351.2613,-00.6421,  8, 0.3355, 145.7,3
1453,350.1403,+00.4080,350.1353,+00.4103,  7, 0.1679,  43.2,2
1454,350.5989,+01.1173,350.5984,+01.1084,  6, 0.1326,  32.5,3
1455,350.6211,-01.1964,350.6069,-01.2187,  5, 0.4490, 142.5,1
1456,349.1009,-00.2882,349.0802,-00.2587,  7, 0.5409, 169.0,
1457,350.5993,+01.0743,350.6065,+01.0656,  7, 0.1188,  56.7,2
1458,349.7181,+00.0353,349.7238,+00.0265,  6, 0.5150,  38.7,3
1459,350.8268,+00.4760,350.8331,+00.4741,  5, 0.2540,  24.1,1
1460,351.0999,+00.3196,351.1076,+00.3191, 22, 0.1503, 119.6,3
1461,353.6696,-00.9019,353.6537,-00.8992, 10, 0.2525,  89.8,3
1462,353.8602,+01.0574,353.8465,+01.0662, 13, 0.0862,  72.0,2
1463,353.3504,-01.1514,353.3470,-01.1119, 60, 0.1034, 205.8,4
1464,352.9783,-00.9123,352.9810,-00.9296, 15, 0.3250, 112.0,2
